Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
781,520402,685497,601321,677888
782,563742,620967,664811,665851
783,567292,672770,676125,701415
784,515009,625590,701327,582240
785,572840,552765,645179,801192
786,643351,692864,702041,649746
787,498474,543620,606290,819116
788,482477,612261,568011,767728
789,635466,533366,678257,588486
790,485524,629905,673727,609920
791,648963,492376,634384,733942
792,543611,540513,595756,686155
793,436897,539324,682637,604256
794,651515,459430,540653,559258
795,534514,520392,598060,636633
796,464170,544502,668465,679390
797,639399,515335,541647,613372
798,521502,533077,719796,703575
799,525827,602688,665954,511705
800,551118,413622,671258,609112
801,527483,562142,697277,755673
802,489857,616540,731264,562986
803,538111,440974,679339,718938
804,543863,656992,690839,618070
805,426507,549919,680995,567903
806,648670,623542,641545,699791
807,531351,590600,594075,611315
808,465047,741896,612541,553040
809,642367,558614,721616,768992
810,524899,699479,774357,646257
811,529876,820305,847603,677892
812,510650,669640,790938,623215
813,555526,732351,849866,753200
814,495130,782465,730429,569755
815,550614,796513,794259,586485
816,558353,751833,771077,661060
817,535227,775197,700809,589835
818,586159,761775,706687,606229
819,570441,605842,661494,801070
820,514159,684111,545477,539165
821,617481,629430,684802,708180
822,573735,612396,538843,633684
823,590768,552592,596912,550521
824,558479,661905,528612,739582
825,577085,500224,587507,609033
826,508369,633600,524302,698770
827,571817,551542,592788,591808
828,540019,463834,553599,742806
829,516202,598988,622525,576847
830,549004,555312,567531,790957
831,565552,540392,594864,1080178
832,570684,525463,642618,718434
833,543518,603733,587684,722931
834,563965,451896,651296,592737
835,504287,473029,523546,704247
836,551687,593796,587661,658340
837,545253,411783,669691,703183
838,505990,632560,528598,651855
839,526224,500891,654650,795627
840,529480,531710,572615,576828
841,489176,520971,531831,1039034
842,427776,645716,629887,761000
843,540458,500178,560010,763086
844,482346,563821,474565,706347
845,398319,561026,643966,927267
846,539903,619030,550525,777823
847,521036,538871,508849,682880
848,495232,648217,557332,528742
849,401249,520765,543453,674501
850,465864,670876,505094,606420
851,632219,555372,520443,627410
852,476771,502444,533217,558274
853,441109,530898,405523,561633
854,645077,621680,624684,478115
855,541591,470212,483881,733695
856,452609,448938,428481,564461
857,639063,590950,449988,689435
858,531985,364281,615816,585449
859,536674,436897,487497,523844
860,545193,579170,404249,614356
861,540709,374751,553782,606943
862,615965,518167,485784,554449
863,535853,519389,393127,656885
864,485715,458982,483694,572630
865,609224,546191,517290,659698
866,538923,364421,485108,498475
867,552093,470744,506965,538433
868,511873,560742,499692,657515
869,574762,400489,547180,588388
870,578975,414438,554295,757077
871,487707,592335,528085,609672
872,550325,495657,591384,693037
873,545426,489415,562417,555204
874,497532,416598,596936,488337
875,545314,519575,548854,622464
876,526410,513529,493174,592737
877,496664,401893,616226,569410
878,528916,490533,536967,603975
879,531981,525197,669504,537952
880,512610,539310,505850,548155
881,532797,502417,559636,632737
882,473888,508650,556380,505337
883,553156,530128,535293,581983
884,517658,500270,563905,669257
885,470044,554467,618966,536193
886,559403,556893,505341,550087
887,547148,541166,514164,444977
888,535582,620728,658233,625758
889,578876,581461,513870,562832
890,514919,573819,549807,728553
891,458721,540677,531458,637612
892,523457,661284,501670,796695
893,551701,512247,528355,757721
894,538927,546657,560094,810280
895,469186,525799,514966,606607
896,562510,550978,572490,564889
897,540611,505874,640570,774880
898,509176,452218,508393,568062
899,544022,549195,479425,522594
